Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
-4.22692,0.046275,6.44874,6.49442,-14.7819,-4.18923,6.20323,19445.5,19217.0,2123.56,1.0001
10.7168,0.0465864,6.54213,6.48489,-0.0294771,10.7019,21.5871,19782.3,19156.4,2160.35,1.00025
12.4489,0.0469336,6.57804,6.44104,1.56983,12.5071,23.2852,19676.0,19238.4,2148.74,1.00017
-4.15621,0.0459551,6.50448,6.5484,-14.9663,-4.13312,6.45893,20061.6,19815.0,2190.84,1.00054
3.84849,0.0457199,6.46073,6.37239,-6.73801,3.87029,14.4931,19962.3,19721.9,2180.0,1.00014
-1.03214,0.0461995,6.49608,6.4377,-11.716,-1.00378,9.74431,19828.9,18569.0,2165.44,1.00025
-1.84342,0.0460201,6.47849,6.43183,-12.5268,-1.81407,8.85035,19834.2,19685.8,2166.02,0.999971
-10.4621,0.0453559,6.44927,6.3833,-21.0714,-10.4749,0.181712,20222.6,19436.3,2208.43,1.0002
-8.69199,0.0471831,6.48471,6.47816,-19.3707,-8.72912,2.00673,18880.2,19562.5,2061.83,0.999966
-10.1792,0.0459318,6.46928,6.55197,-20.7387,-10.2054,0.427995,19846.3,19779.2,2167.34,1.00007
-6.97492,0.0454434,6.42663,6.35792,-17.627,-6.97339,3.59547,20109.9,19845.0,2196.12,1.00026
-13.2257,0.0451505,6.43212,6.46389,-23.7704,-13.237,-2.69241,20360.3,19771.5,2223.47,1.00022
4.07124,0.0463976,6.47264,6.52518,-6.60198,4.09489,14.6479,19516.8,19370.5,2131.35,1.00023
-13.2171,0.0470609,6.53587,6.50429,-23.9817,-13.2113,-2.41747,19329.6,19313.8,2110.9,1.0001
-3.67111,0.0452794,6.42373,6.37918,-14.2097,-3.67526,6.8203,20134.9,19764.2,2198.85,0.999965
-5.37088,0.0458908,6.45513,6.495,-15.9844,-5.33062,5.29915,19789.2,19224.2,2161.1,0.999951
5.51411,0.0457091,6.52918,6.46881,-5.24374,5.47748,16.3418,20410.5,19971.6,2228.95,1.00011
12.3536,0.0471127,6.54216,6.56497,1.60285,12.327,23.1648,19294.7,19478.3,2107.1,1.00027
-17.2033,0.0455512,6.47181,6.39253,-27.8006,-17.2592,-6.58089,20221.8,18882.6,2208.35,0.999961
8.18722,0.0453101,6.47538,6.42913,-2.44888,8.17758,18.8053,20439.1,19548.4,2232.07,1.00006
-5.18591,0.0458986,6.48894,6.46507,-15.7558,-5.20034,5.45132,19995.0,20286.8,2183.58,0.999906
-5.90198,0.0471013,6.49605,6.50141,-16.5936,-5.96427,4.85068,19056.6,19265.4,2081.1,0.999926
-10.6051,0.0462701,6.47732,6.48418,-21.0817,-10.6256,0.168493,19606.5,19439.9,2141.15,1.00005
-7.04948,0.0472352,6.54587,6.44851,-17.9054,-7.03513,3.74573,19235.6,20139.6,2100.64,0.999976
-11.3985,0.0461094,6.43923,6.43306,-22.0011,-11.3995,-0.930201,19520.2,19418.6,2131.72,1.00002
